fielder,COUNT(dismissal_kind)
KD Karthik,118
MS Dhoni,113
AB de Villiers,103
SK Raina,99
RG Sharma,88
RV Uthappa,87
KA Pollard,84
V Kohli,76
S Dhawan,73
MK Pandey,70
PA Patel,69
DA Warner,66
NV Ojha,65
DJ Bravo,64
RA Jadeja,63
WP Saha,62
AM Rahane,58
AT Rayudu,56
F du Plessis,54
SV Samson,52
AC Gilchrist,51
Q de Kock,49
DA Miller,49
SA Yadav,48
HH Pandya,48
M Vijay,47
RR Pant,46
MK Tiwary,46
KC Sangakkara,45
SPD Smith,44
DR Smith,41
YK Pathan,41
KL Rahul,39
SR Watson,38
BB McCullum,37
Harbhajan Singh,37
Mandeep Singh,36
AR Patel,36
MA Agarwal,35
PP Chawla,34
V Sehwag,34
CH Morris,32
DPMD Jayawardene,32
JC Buttler,31
R Vinay Kumar,31
GJ Maxwell,30
JH Kallis,30
R Ashwin,30
Yuvraj Singh,29
UT Yadav,29
IK Pathan,28
SS Iyer,28
G Gambhir,28
JP Duminy,28
KM Jadhav,28
AJ Finch,27
RP Singh,27
EJG Morgan,27
MC Henriques,26
MEK Hussey,26
CH Gayle,26
SE Marsh,26
DJ Hussey,25
DJ Hooda,25
SS Tiwary,24
R Bhatia,23
SR Tendulkar,23
CL White,22
KS Williamson,22
SC Ganguly,22
B Kumar,22
KK Nair,22
DW Steyn,22
BJ Hodge,22
HH Gibbs,22
AD Russell,20
M Manhas,20
Z Khan,20
A Symonds,20
TM Dilshan,20
BA Stokes,20
KH Pandya,20
MS Bisla,20
Gurkeerat Singh,19
STR Binny,19
AD Mathews,19
SB Jakati,19
M Kartik,18
JD Unadkat,18
TA Boult,18
DS Kulkarni,18
LRPL Taylor,18
V Shankar,18
R Dravid,18
DT Christian,18
A Mishra,18
RJ Harris,18
YS Chahal,17
A Nehra,17
SP Goswami,17
