result_margin,team1,team2,winner
146,Delhi Daredevils,Mumbai Indians,Mumbai Indians
144,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore
140,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
138,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
130,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore
118,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
111,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab
105,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
102,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
98,Delhi Daredevils,Mumbai Indians,Mumbai Indians
