venue,COUNT(venue)
Eden Gardens,77
Feroz Shah Kotla,74
Wankhede Stadium,73
M Chinnaswamy Stadium,65
"Rajiv Gandhi International Stadium, Uppal",64
"MA Chidambaram Stadium, Chepauk",57
Sawai Mansingh Stadium,47
"Punjab Cricket Association Stadium, Mohali",35
Dubai International Cricket Stadium,33
Sheikh Zayed Stadium,29
Maharashtra Cricket Association Stadium,21
"Punjab Cricket Association IS Bindra Stadium, Mohali",21
Sharjah Cricket Stadium,18
Dr DY Patil Sports Academy,17
Subrata Roy Sahara Stadium,17
Kingsmead,15
M.Chinnaswamy Stadium,15
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13
SuperSport Park,12
"Sardar Patel Stadium, Motera",12
